Country,Indicator,Gender,Age,Poverty_Rating,Residence,Maternal_Education,Year,Observation_Value
Indonesia,Continued breastfeeding (12-15 months), Female, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,85.7
Indonesia,Continued breastfeeding (12-15 months), Female, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,80.9
Indonesia,Continued breastfeeding (12-15 months), Female, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,78.7
Indonesia,Continued breastfeeding (12-15 months), Female, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,79.3
Indonesia,Continued breastfeeding (12-15 months), Male, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,83.6
Indonesia,Continued breastfeeding (12-15 months), Male, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,78.9
Indonesia,Continued breastfeeding (12-15 months), Male, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,75.8
Indonesia,Continued breastfeeding (12-15 months), Male, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,73.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 13 months old,Poor,Suburban,No education,2003-01-01,88.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 13 months old,Poor,Suburban,No education,2007-01-01,82.0
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 13 months old,Poor,Suburban,No education,2012-01-01,76.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 13 months old,Poor,Suburban,No education,2017-01-01,78.0
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,87.8
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,84.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,86.6
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,85.8
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,93.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,88.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,79.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,83.0
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2003-01-01,88.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2007-01-01,79.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2012-01-01,80.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2017-01-01,73.8
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2003-01-01,78.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2007-01-01,79.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2012-01-01,69.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Middle Class,Suburban,No education,2017-01-01,75.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Rich,Suburban,No education,2003-01-01,73.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Rich,Suburban,No education,2007-01-01,68.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Rich,Suburban,No education,2012-01-01,69.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Rich,Suburban,No education,2017-01-01,63.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Rural,No education,2003-01-01,89.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Rural,No education,2007-01-01,85.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Rural,No education,2012-01-01,83.0
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Rural,No education,2017-01-01,80.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Urban,No education,2003-01-01,78.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Urban,No education,2007-01-01,70.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Urban,No education,2012-01-01,70.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Urban,No education,2017-01-01,72.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2003-01-01,90.3
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2007-01-01,86.3
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2012-01-01,85.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2017-01-01,85.3
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2003-01-01,81.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2007-01-01,78.8
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2012-01-01,76.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2017-01-01,75.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2003-01-01,78.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2007-01-01,75.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2012-01-01,73.4
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Secondary education,2017-01-01,73.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Tertiary education,2003-01-01,61.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Tertiary education,2007-01-01,59.0
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Tertiary education,2012-01-01,59.6
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Tertiary education,2017-01-01,66.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,93.6
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,90.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,90.8
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2003-01-01,89.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2007-01-01,86.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2012-01-01,85.1
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,Primary education,2017-01-01,85.7
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,84.6
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,79.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,77.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,76.5
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,84.6
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,79.9
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,77.2
Indonesia,Continued breastfeeding (12-15 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,76.5
Indonesia,Continued breastfeeding (12-15 months), Total, 14 to 15 months old,Poor,Suburban,No education,2003-01-01,80.0
Indonesia,Continued breastfeeding (12-15 months), Total, 14 to 15 months old,Poor,Suburban,No education,2007-01-01,77.8
Indonesia,Continued breastfeeding (12-15 months), Total, 14 to 15 months old,Poor,Suburban,No education,2012-01-01,77.6
Indonesia,Continued breastfeeding (12-15 months), Total, 14 to 15 months old,Poor,Suburban,No education,2017-01-01,75.3
Indonesia,Continued breastfeeding (12-23 months), Female, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,77.4
Indonesia,Continued breastfeeding (12-23 months), Female, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,70.4
Indonesia,Continued breastfeeding (12-23 months), Female, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,67.0
Indonesia,Continued breastfeeding (12-23 months), Female, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,69.3
Indonesia,Continued breastfeeding (12-23 months), Male, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,71.6
Indonesia,Continued breastfeeding (12-23 months), Male, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,66.4
Indonesia,Continued breastfeeding (12-23 months), Male, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,67.7
Indonesia,Continued breastfeeding (12-23 months), Male, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,65.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 13 months old,Poor,Suburban,No education,2003-01-01,88.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 13 months old,Poor,Suburban,No education,2007-01-01,82.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 13 months old,Poor,Suburban,No education,2012-01-01,76.9
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 13 months old,Poor,Suburban,No education,2017-01-01,78.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 15 months old,Poor,Suburban,No education,2003-01-01,84.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 15 months old,Poor,Suburban,No education,2007-01-01,79.9
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 15 months old,Poor,Suburban,No education,2012-01-01,77.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 15 months old,Poor,Suburban,No education,2017-01-01,76.5
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,79.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,72.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,73.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,74.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2003-01-01,82.7
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2007-01-01,73.8
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2012-01-01,70.3
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Poor,Suburban,No education,2017-01-01,74.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2003-01-01,80.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2007-01-01,70.4
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2012-01-01,71.2
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2017-01-01,68.6
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2003-01-01,74.0
Indonesia,Continued breastfeeding (12-23 months), Total, 12 to 23 months old,Middle Class,Suburban,No education,2007-01-01,68.1
